Date,Paragraphs,url,user/name,user/screen_name,Sentiment
2020-12-21 04:57:50+00:00,and made significant contribution to their friendship and China-US relations. His wisdom and insight on China has been of immeasurable value not only to people in the field of study but also to the world.,https://twitter.com/AmbCuiTiankai/status/1340884157824679937,Cui Tiankai,AmbCuiTiankai,1
2020-12-04 01:00:17+00:00,"For China, the choice is clear. As President Xi Jinping stated in his message of congratulation to President-Elect Joseph Biden, the Chinese side stands ready to work with the US side ""in the spirit of no conflict, no confrontation, mutual respect and win-win cooperation,",https://twitter.com/AmbCuiTiankai/status/1334663782392619009,Cui Tiankai,AmbCuiTiankai,1
2020-12-29 00:46:36+00:00,"The arrival of Xiao Qi Ji has been precious, especially in an extraordinary year as 2020. Looking to 2021, we hope to have a year filled with joy and miracles, not only for Xiao Qi Ji but also for all.",https://twitter.com/AmbCuiTiankai/status/1343720038562467849,Cui Tiankai,AmbCuiTiankai,1
2020-12-04 01:01:45+00:00,The first and foremost thing we have to do to be on the right side of history is to reject the outdated mindset. The best way to avoid a trap is to open up a new path. This is the vision that we shall hold and a historic mission that we have to fulfill today.,https://twitter.com/AmbCuiTiankai/status/1334664153399783424,Cui Tiankai,AmbCuiTiankai,0
2020-11-20 22:45:38+00:00,"A strong message of China's support for an open world economy and an inclusive globalization beneficial to all. https://t.co/dV5rZAA5k2",https://twitter.com/AmbCuiTiankai/status/1329918854802386945,Cui Tiankai,AmbCuiTiankai,1
2020-10-31 15:14:11+00:00,"A major achievement in #China's 13th Five-Year Plan period is that 55.75 million rural residents were lifted out of poverty. China's development is for the people, and the benefits are shared by the people.https://t.co/bHoKQkaoEz",https://twitter.com/AmbCuiTiankai/status/1322557485841043456,Cui Tiankai,AmbCuiTiankai,0
2020-09-11 20:53:42+00:00,"September 11 is a day of remembrance. We remember with reverence the victims 19 years ago, the victims of other terrorist attacks and all those who put themselves in harm's way to save others. We remember their spirit of sacrifice &amp; solidarity that holds us together in a crisis. https://t.co/rVW0DR6Ytn",https://twitter.com/AmbCuiTiankai/status/1304523537919729664,Cui Tiankai,AmbCuiTiankai,-1
2020-10-31 21:14:19+00:00,"Power of technology! An 85-year-old primary school in Shanghai, which is a 5-story building, just 'walked' to a new location. https://t.co/3njgCCVnGJ",https://twitter.com/AmbCuiTiankai/status/1322648118836498438,Cui Tiankai,AmbCuiTiankai,0
2020-10-03 00:32:24+00:00,"My best wishes to President @realDonaldTrump and @FLOTUS for a speedy and full recovery. 
祝特朗普总统夫妇早日康复。",https://twitter.com/AmbCuiTiankai/status/1312188720477478912,Cui Tiankai,AmbCuiTiankai,1
2020-10-31 00:37:08+00:00,"Foreign enterprises in #China, including American ones, are an integrated part of China's domestic circulation. And they play a key role in linking it to the int'l one. China will stay committed to high-level opening-up, which will boost the interactions of the dual circulations",https://twitter.com/AmbCuiTiankai/status/1322336770118295555,Cui Tiankai,AmbCuiTiankai,0
2020-09-11 20:53:43+00:00,"September 11 is also a day of reflection. Terrorism should be fought whenever &amp; wherever it is, as people's lives always come first. Confronted with common enemies such as terrorism and COVID19 and global challenges such as climate change, united we stand, divided we fall.",https://twitter.com/AmbCuiTiankai/status/1304523539358322693,Cui Tiankai,AmbCuiTiankai,0
2020-10-01 19:11:10+00:00,"Oct.1 marks the 71st Anniversary of the People's Republic of China and is the final day in our week-long celebration of #ChinaNationalDay and #MidAutumnFestival. Join me for the Reception and Concert hosted by Chinese Embassy at 7pm.   https://t.co/bcKcCS73h2 https://t.co/S2YaWwMMbJ",https://twitter.com/AmbCuiTiankai/status/1311745491437318145,Cui Tiankai,AmbCuiTiankai,1
2020-11-25 16:31:22+00:00,"Today, I conveyed President Xi Jinping's congratulatory message to Mr. Joe Biden on his election as U.S. President, and Vice President Wang Qishan's congratulations to Ms. Kamala Harris on her election as U.S. Vice President. https://t.co/FeC9HzKnYJ",https://twitter.com/AmbCuiTiankai/status/1331636608685236227,Cui Tiankai,AmbCuiTiankai,0
2020-09-03 22:39:39+00:00,Check my remarks in commemoration of the 75th anniversary of the #WWII victory. https://t.co/185vawtWrK,https://twitter.com/AmbCuiTiankai/status/1301651095249399814,Cui Tiankai,AmbCuiTiankai,1
2020-10-01 23:15:35+00:00,"We believe that a sound&amp;stable China-US relationship is in the interests of both countries, and it is needed for achieving the rejuvenation of the Chinese nation and building a community with a shared future for mankind. Watch the Reception&amp;Concert here. https://t.co/bcKcCS73h2 https://t.co/TRdZrcauVp",https://twitter.com/AmbCuiTiankai/status/1311807000691585024,Cui Tiankai,AmbCuiTiankai,1
